epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,0.625,,1.447349190711975,,
0,99,,0.6875,,1.436098575592041,,
0,149,,0.875,,1.1581867933273315,,
0,196,,,,,0.8246505856513977,1.2342971563339233
0,196,0.8246980309486389,,1.251417636871338,,,
1,199,,0.84375,,1.2096335887908936,,
1,249,,0.84375,,1.2202268838882446,,
1,299,,0.75,,1.4048041105270386,,
1,349,,0.875,,1.161807656288147,,
1,393,,,,,0.8246505856513977,1.233230710029602
1,393,0.8246980309486389,,1.2401609420776367,,,
2,399,,0.875,,1.1571468114852905,,
2,449,,0.84375,,1.2202099561691284,,
2,499,,0.8125,,1.3023158311843872,,
2,549,,0.84375,,1.218061923980713,,
2,590,,,,,0.8246505856513977,1.234153151512146
2,590,0.8246980309486389,,1.242667555809021,,,
3,599,,0.8125,,1.3159810304641724,,
3,649,,0.75,,1.3847084045410156,,
3,699,,0.9375,,0.9509433507919312,,
3,749,,0.8125,,1.3152486085891724,,
3,787,,,,,0.8246505856513977,1.2348721027374268
3,787,0.8246980309486389,,1.2421231269836426,,,
4,799,,0.90625,,1.0469247102737427,,
4,849,,0.875,,1.1584484577178955,,
4,899,,0.84375,,1.2249526977539062,,
4,949,,0.75,,1.3965728282928467,,
4,984,,,,,0.8246505856513977,1.2339221239089966
4,984,0.8246980309486389,,1.237801194190979,,,
5,999,,0.90625,,1.0575250387191772,,
5,1049,,0.90625,,1.0946831703186035,,
5,1099,,0.78125,,1.344622015953064,,
5,1149,,0.84375,,1.2171577215194702,,
5,1181,,,,,0.8246505856513977,1.2362308502197266
5,1181,0.8246980309486389,,1.2403696775436401,,,
6,1199,,0.78125,,1.2923940420150757,,
6,1249,,0.90625,,1.0574344396591187,,
6,1299,,0.65625,,1.474243402481079,,
6,1349,,0.8125,,1.2719088792800903,,
6,1378,,,,,0.8246505856513977,1.234575867652893
6,1378,0.8246980309486389,,1.2421224117279053,,,
7,1399,,0.84375,,1.231555700302124,,
7,1449,,0.625,,1.5320765972137451,,
7,1499,,0.90625,,1.0590485334396362,,
7,1549,,0.8125,,1.3026959896087646,,
7,1575,,,,,0.8246505856513977,1.2382978200912476
7,1575,0.8246980309486389,,1.2412922382354736,,,
8,1599,,0.75,,1.374394178390503,,
8,1649,,0.78125,,1.3307454586029053,,
8,1699,,0.8125,,1.2718669176101685,,
8,1749,,0.75,,1.428001046180725,,
8,1772,,,,,0.8246505856513977,1.2357767820358276
8,1772,0.8246980309486389,,1.2399964332580566,,,
9,1799,,0.84375,,1.217292070388794,,
9,1849,,0.96875,,0.8282890319824219,,
9,1899,,0.78125,,1.3200974464416504,,
9,1949,,0.6875,,1.4501334428787231,,
9,1969,,,,,0.8246505856513977,1.2335525751113892
9,1969,0.8246980309486389,,1.241430640220642,,,
10,1999,,0.875,,1.1517996788024902,,
10,2049,,0.90625,,1.0539034605026245,,
10,2099,,0.71875,,1.4524390697479248,,
10,2149,,0.8125,,1.2684338092803955,,
10,2166,,,,,0.8246505856513977,1.2332884073257446
10,2166,0.8246980309486389,,1.2399048805236816,,,
11,2199,,0.90625,,1.056231141090393,,
11,2249,,0.875,,1.112064003944397,,
11,2299,,0.875,,1.1732232570648193,,
11,2349,,0.75,,1.3843162059783936,,
11,2363,,,,,0.8246505856513977,1.2337819337844849
11,2363,0.8246980309486389,,1.2399042844772339,,,
12,2399,,0.71875,,1.4221311807632446,,
12,2449,,0.78125,,1.3385745286941528,,
12,2499,,0.90625,,1.1041957139968872,,
12,2549,,0.84375,,1.232839584350586,,
12,2560,,,,,0.8246505856513977,1.2337729930877686
12,2560,0.8246980309486389,,1.24154531955719,,,
13,2599,,0.90625,,1.0611004829406738,,
13,2649,,0.75,,1.366114616394043,,
13,2699,,0.75,,1.3925793170928955,,
13,2749,,0.84375,,1.2322560548782349,,
13,2757,,,,,0.8246505856513977,1.2356727123260498
13,2757,0.8246980309486389,,1.2412766218185425,,,
14,2799,,0.84375,,1.2272167205810547,,
14,2849,,0.75,,1.3788597583770752,,
14,2899,,0.78125,,1.3232076168060303,,
14,2949,,0.84375,,1.2020548582077026,,
14,2954,,,,,0.8246505856513977,1.2331230640411377
14,2954,0.8246980309486389,,1.2414848804473877,,,
15,2999,,0.90625,,1.104392409324646,,
15,3049,,0.71875,,1.4607162475585938,,
15,3099,,0.8125,,1.304942011833191,,
15,3149,,0.90625,,1.0866869688034058,,
15,3151,,,,,0.8246505856513977,1.2354191541671753
15,3151,0.8246980309486389,,1.237977147102356,,,
16,3199,,0.9375,,0.9618382453918457,,
16,3249,,0.90625,,1.081375241279602,,
16,3299,,0.875,,1.1443206071853638,,
16,3348,,,,,0.8246505856513977,1.2339024543762207
16,3348,0.8246980309486389,,1.2398078441619873,,,
17,3349,,0.78125,,1.3328033685684204,,
17,3399,,0.84375,,1.2110501527786255,,
17,3449,,0.84375,,1.2229578495025635,,
17,3499,,0.84375,,1.2383278608322144,,
17,3545,,,,,0.8246505856513977,1.2336735725402832
17,3545,0.8246980309486389,,1.2386056184768677,,,
18,3549,,0.875,,1.1486585140228271,,
18,3599,,0.9375,,0.9755265116691589,,
18,3649,,0.8125,,1.2745275497436523,,
18,3699,,0.75,,1.349008560180664,,
18,3742,,,,,0.8246505856513977,1.2330745458602905
18,3742,0.8246980309486389,,1.2388091087341309,,,
19,3749,,0.75,,1.3753926753997803,,
19,3799,,0.90625,,1.0378886461257935,,
19,3849,,0.84375,,1.1976544857025146,,
19,3899,,0.78125,,1.3407033681869507,,
19,3939,,,,,0.8246505856513977,1.2346123456954956
19,3939,0.8246980309486389,,1.2413861751556396,,,
